# TextGrid to CSV (D. Gibbon, 2008-11-23)
# Open the file with OpenOffice.org Calc or MS-Excel.
FileName	TierType	TierName	Label	Start	End	Duration
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"餐" 	37.56 	37.905 	0.34499999999999886
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"都" 	37.905 	38.04 	0.134999999999998
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"吃" 	38.04 	38.27 	0.23000000000000398
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"含有" 	38.27 	38.555 	0.2849999999999966
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"蛋白質" 	38.555 	39.135 	0.5799999999999983
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"的" 	39.135 	39.23 	0.09499999999999886
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"食物" 	39.23 	39.74 	0.5100000000000051
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	39.74 	39.755 	0.015000000000000568
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	39.755 	39.77 	0.015000000000000568
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"你" 	39.77 	39.84 	0.07000000000000028
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"很" 	39.84 	40.515 	0.6749999999999972
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"快" 	40.515 	40.785 	0.269999999999996
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"就" 	40.785 	40.97 	0.18500000000000227
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"會" 	40.97 	41.115 	0.14500000000000313
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"長高" 	41.115 	41.835 	0.7199999999999989
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	41.835 	41.925 	0.0899999999999963
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	41.925 	41.94 	0.015000000000000568
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"阿力" 	41.94 	42.39 	0.45000000000000284
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	42.39 	43.075 	0.6850000000000023
