phonogram3967index,index,type,zhuyin,tone,stroke,orthographicgroup,phoneticradical,homograph_cnts,homophone_cnts,freq_char,freq_char(log),freq_char_4.0,freq_char_4.0(log),fre_cd,xasbc_cf_million,freq_syllable_4.0,freq_syllable_4.0(log),phoneticcom,FF_friends,FF(type),FF(1500),FF(2000),FF(log),FB_group_code,FB_total,FB_friend,FB_total_freq,FB_freq_friend,FB_freq_enemy,FB(type),FB(token),FB(1500),FB(5000),FB(log),註記,說明
0,5572,樁,ㄓㄨㄤ,1,15,臼,臼,1,4,360,2.56 ,223,2.348304863,171,12.92 ,7769,3.89 ,4,1,0.25,0.10920666,0.0877262,0.271743728,2,4,1,7769,223,7546,0.25 ,0.03 ,0.06 ,0.03 ,0.19 ,,
3507,5576,狀,ㄓㄨㄤ,4,8,爿,爿,1,4,4095,3.61 ,5171,3.713574538,2740,328.19 ,7256,3.86 ,6,3,0.5,0.526200873,0.489635996,0.476486224,1,4,2,7256,6362,894,0.50 ,0.88 ,0.75 ,0.87 ,0.70 ,,
3508,5577,壯,ㄓㄨㄤ,4,7,爿,爿,1,4,627,2.80 ,1191,3.075911761,794,85.10 ,7256,3.86 ,6,3,0.5,0.526200873,0.489635996,0.476486224,1,4,2,7256,6362,894,0.50 ,0.88 ,0.75 ,0.87 ,0.70 ,,
0,5579,戇,ㄓㄨㄤ,4,28,章,章,1,4,1,0.00 ,1,0,1,0.00 ,7256,3.86 ,13,1,0.076923077,0.000345423,0.000294551,0,3,4,1,7256,1,7255,0.25 ,0.00 ,0.00 ,0.00 ,0.00 ,a,
807,5578,撞,ㄓㄨㄤ,4,15,童,童,1,4,1629,3.21 ,893,2.950851459,531,55.25 ,7256,3.86 ,7,1,0.142857143,0.318019943,0.269951632,0.203527281,2,4,1,7256,893,6363,0.25 ,0.12 ,0.25 ,0.13 ,0.30 ,,
0,5580,中,ㄓㄨㄥ,1,4,中,.,2,8,98151,4.99 ,88452,4.946707657,14152,5969.53 ,99052,5.00 ,.,.,.,.,.,.,1,8,4,99052,90501,8551,0.50 ,0.91 ,0.47 ,0.46 ,0.51 ,,
3788,5581,忠,ㄓㄨㄥ,1,8,中,中,1,8,2274,3.36 ,1666,3.221674997,876,107.91 ,99052,5.00 ,6,4,0.666666667,0.769044006,0.780121352,0.670062777,1,8,4,99052,90501,8551,0.50 ,0.91 ,0.47 ,0.46 ,0.51 ,,
3789,5582,衷,ㄓㄨㄥ,1,10,中,中,1,8,285,2.45 ,367,2.564666064,313,25.97 ,99052,5.00 ,6,4,0.666666667,0.769044006,0.780121352,0.670062777,1,8,4,99052,90501,8551,0.50 ,0.91 ,0.47 ,0.46 ,0.51 ,,
3787,5583,盅,ㄓㄨㄥ,1,9,中,中,1,8,7,0.85 ,16,1.204119983,11,1.15 ,99052,5.00 ,6,4,0.666666667,0.769044006,0.780121352,0.670062777,1,8,4,99052,90501,8551,0.50 ,0.91 ,0.47 ,0.46 ,0.51 ,,
3415,5585,終,ㄓㄨㄥ,1,11,冬,冬,1,8,4559,3.66 ,5202,3.716170348,3003,328.05 ,99052,5.00 ,5,2,0.4,0.6411443,0.703510601,0.444673958,2,8,2,99052,5226,93826,0.25 ,0.05 ,0.21 ,0.33 ,0.22 ,,
